CONSTANT,LIQUIDITY_POOL_USD_SIZE_AT,LIQUIDITY_POOL_VINCI_SIZE_AT,LIQUIDITY_POOL_USD_SIZE,LIQUIDITY_POOL_VINCI_SIZE,VINCI_TRADED,TRADE_VOLUME_USD,NEW_PRICE,PRICE_IMPACT
1666666666.6666667,9900.990099009901,168333.33333333334,10000.0,166666.6666666667,-1666.666666666657,100,0.05881776296441525,-0.019703950593079056
1666666666.6666667,9803.92156862745,170000.00000000003,10000.0,166666.6666666667,-3333.333333333343,200,0.0576701268742791,-0.038831218762014896
1666666666.6666667,9708.73786407767,171666.6666666667,10000.0,166666.6666666667,-5000.0,300,0.05655575454802526,-0.05740409086624565
1666666666.6666667,9615.384615384615,173333.33333333334,10000.0,166666.6666666667,-6666.666666666657,400,0.05547337278106509,-0.07544378698224852
1666666666.6666667,9523.809523809523,175000.00000000003,10000.0,166666.6666666667,-8333.333333333343,500,0.05442176870748298,-0.09297052154195029
1666666666.6666667,9433.962264150943,176666.6666666667,10000.0,166666.6666666667,-10000.0,600,0.05339978640085439,-0.11000355998576017
1666666666.6666667,9345.794392523365,178333.33333333334,10000.0,166666.6666666667,-11666.666666666657,700,0.0524063236963927,-0.12656127172678833
1666666666.6666667,9259.259259259257,180000.00000000003,10000.0,166666.6666666667,-13333.333333333343,800,0.05144032921810698,-0.142661179698217
1666666666.6666667,9174.311926605504,181666.6666666667,10000.0,166666.6666666667,-15000.0,900,0.050500799595993594,-0.15832000673344004
1666666666.6666667,9090.90909090909,183333.33333333334,10000.0,166666.6666666667,-16666.666666666657,1000,0.04958677685950413,-0.17355371900826455
1666666666.6666667,9009.009009009009,185000.00000000003,10000.0,166666.6666666667,-18333.333333333343,1100,0.04869734599464328,-0.1883775667559453
1666666666.6666667,8928.571428571428,186666.6666666667,10000.0,166666.6666666667,-20000.0,1200,0.047831632653061215,-0.20280612244897966
1666666666.6666667,8849.557522123894,188333.33333333334,10000.0,166666.6666666667,-21666.666666666657,1300,0.046988801002427756,-0.216853316626204
1666666666.6666667,8771.929824561403,190000.00000000003,10000.0,166666.6666666667,-23333.333333333343,1400,0.0461680517082179,-0.23053247152970158
1666666666.6666667,8695.652173913042,191666.6666666667,10000.0,166666.6666666667,-25000.0,1500,0.04536862003780717,-0.24385633270321372
1666666666.6666667,8620.689655172413,193333.33333333334,10000.0,166666.6666666667,-26666.666666666657,1600,0.044589774078477994,-0.2568370986920334
1666666666.6666667,8547.008547008547,195000.00000000003,10000.0,166666.6666666667,-28333.333333333343,1700,0.043830813061582284,-0.2694864489736286
1666666666.6666667,8474.57627118644,196666.6666666667,10000.0,166666.6666666667,-30000.0,1800,0.043091065785693765,-0.2818155702384372
1666666666.6666667,8403.361344537816,198333.33333333334,10000.0,166666.6666666667,-31666.666666666657,1900,0.04236988913212344,-0.29383518113127605
1666666666.6666667,8333.333333333332,200000.00000000003,10000.0,166666.6666666667,-33333.33333333334,2000,0.04166666666666666,-0.3055555555555557
1666666666.6666667,8264.462809917355,201666.6666666667,10000.0,166666.6666666667,-35000.0,2100,0.040980807321904233,-0.31698654463492937
1666666666.6666667,8196.721311475409,203333.33333333337,10000.0,166666.6666666667,-36666.666666666686,2200,0.04031174415479708,-0.32813759742004867
1666666666.6666667,8130.081300813007,205000.00000000003,10000.0,166666.6666666667,-38333.33333333334,2300,0.03965893317469759,-0.3390177804217068
1666666666.6666667,8064.516129032258,206666.6666666667,10000.0,166666.6666666667,-40000.0,2400,0.03902185223725286,-0.34963579604578565
1666666666.6666667,7999.999999999999,208333.33333333337,10000.0,166666.6666666667,-41666.666666666686,2500,0.03839999999999999,-0.3600000000000001
1666666666.6666667,7936.5079365079355,210000.00000000003,10000.0,166666.6666666667,-43333.33333333334,2600,0.03779289493575207,-0.37011841773746557
1666666666.6666667,7874.015748031496,211666.6666666667,10000.0,166666.6666666667,-45000.0,2700,0.037200074400148796,-0.3799987599975201
1666666666.6666667,7812.499999999999,213333.33333333337,10000.0,166666.6666666667,-46666.666666666686,2800,0.036621093749999986,-0.3896484375000002
1666666666.6666667,7751.937984496123,215000.00000000003,10000.0,166666.6666666667,-48333.33333333334,2900,0.036055525509284286,-0.3990745748452619
1666666666.6666667,7692.307692307692,216666.6666666667,10000.0,166666.6666666667,-50000.0,3000,0.03550295857988165,-0.40828402366863914
1666666666.6666667,7633.587786259541,218333.33333333337,10000.0,166666.6666666667,-51666.666666666686,3100,0.0349629974943185,-0.4172833750946917
1666666666.6666667,7575.757575757575,220000.00000000003,10000.0,166666.6666666667,-53333.33333333334,3200,0.034435261707988975,-0.42607897153351704
1666666666.6666667,7518.796992481202,221666.6666666667,10000.0,166666.6666666667,-55000.0,3300,0.033919384928486625,-0.4346769178585562
1666666666.6666667,7462.686567164178,223333.33333333337,10000.0,166666.6666666667,-56666.666666666686,3400,0.0334150144798396,-0.4430830920026734
1666666666.6666667,7407.407407407407,225000.00000000003,10000.0,166666.6666666667,-58333.33333333334,3500,0.03292181069958847,-0.4513031550068588
1666666666.6666667,7352.941176470588,226666.6666666667,10000.0,166666.6666666667,-60000.0,3600,0.032439446366782004,-0.4593425605536332
1666666666.6666667,7299.2700729927,228333.33333333337,10000.0,166666.6666666667,-61666.666666666686,3700,0.03196760615909211,-0.4672065640151315
1666666666.6666667,7246.376811594202,230000.00000000003,10000.0,166666.6666666667,-63333.33333333334,3800,0.03150598613736609,-0.47490023104389845
1666666666.6666667,7194.244604316546,231666.6666666667,10000.0,166666.6666666667,-65000.0,3900,0.031054293256042642,-0.48242844573262256
